Source,Target,Value,Address,Price,num_Bedrooms,num_Bathrooms,SqFt,City,State,Latitude,Longitude
Visited,Made Offer,5,53 Village Edge Dr,1875,3,2.5,1812.0,Lillington,NC,35.4338,-78.7953
Visited,Made Offer,5,118 Beautiful Ln,2400,4,2.5,2188.0,Sanford,NC,35.3236,-79.1044
Visited,Made Offer,5,103 Bonnie Brook Ct,3200,4,3.0,2620.0,Aberdeen,NC,35.1445,-79.418
Visited,Made Offer,5,6464 Calloway Rd,2400,4,2.5,2114.0,Aberdeen,NC,35.06,-79.39
Visited,Made Offer,5,215 Plantation Dr,3500,3,2.5,,Southern Pines,NC,35.1841,-79.427
Visited,Made Offer,5,144 Moultrie Ln,3100,5,3.0,2950.0, Aberdeen,NC,35.0988,-79.4185
Visited,Made Offer,5,1000 Robinwood Rd,2300,3,2.5,2000.0, Aberdeen,NC,35.1473,-79.4258
Visited,Made Offer,5,905 Winds Way,3000,4,2.5,2563.0, Aberdeen,NC,35.156,-79.48
Visited,Made Offer,5,324 Pine Laurel,2600,4,3.0,2090.0, Carthage,NC,35.2504,-79.4423
Visited,Made Offer,5,70 Cardinal Dr,2475,3,2.5,2147.0,Whispering Pines,NC,35.2334,-79.3693
Visited,Made Offer,5,74 Pine Lake Dr,3500,4,3.5,2405.0,Whispering Pines,NC,35.2531,-79.3707
Visited,Made Offer,5,6641 Carriage Crossing Rd,2400,4,2.5,2788.0, Hope Mills, NC,34.9061,-78.9421
Visited,Made Offer,5,295 Parrish Ln,2900,3,2.5,2270.0, Carthage, NC,35.2273,-79.3792
Visited,Made Offer,5,550 Avenue Of The Carolinas,2750,4,3.0,2568.0,Carthage,NC,35.2274,-79.3837
Visited,Made Offer,5,270 McKenzie Rd W UNIT 53,3175,3,2.5,1950.0, Pinehurst,NC,35.1907,-79.4748
Visited,No Offer,5,350 Wheeling Dr,2800,5,3.5,2600.0, Pinehurst,NC,35.21,-79.46
Made Offer,Moving In,5,1134 Doe Blossom Ln,2350,3,2.5,2356.0,Apex,NC,35.7396,-78.9428
